date,time,open,high,low,close,volume
20250401,901,5960,6010,5960,5990,666
20250401,906,6000,6000,6000,6000,25
20250401,907,6010,6020,6010,6020,2
20250401,908,6020,6020,6010,6020,12
20250401,909,6020,6020,6020,6020,30
20250401,910,6020,6020,6020,6020,20
20250401,913,6020,6020,6020,6020,9
20250401,914,6020,6030,6020,6020,32
20250401,915,6020,6020,6020,6020,2
20250401,920,6020,6030,6020,6030,3
20250401,921,6030,6030,6030,6030,7
20250401,923,6030,6030,6030,6030,50
20250401,924,6030,6030,6030,6030,20
20250401,925,6030,6030,6030,6030,251
20250401,929,6030,6030,6000,6000,1634
20250401,930,6000,6000,6000,6000,17
20250401,932,5990,5990,5990,5990,250
20250401,933,5990,5990,5990,5990,16
20250401,935,5990,5990,5990,5990,166
20250401,936,5990,5990,5990,5990,6
20250401,937,5990,5990,5990,5990,8
20250401,938,5990,5990,5990,5990,1
20250401,939,5990,5990,5990,5990,35
20250401,940,5990,5990,5990,5990,203
20250401,942,6000,6000,5990,5990,13
20250401,943,5990,5990,5990,5990,1
20250401,944,5990,5990,5990,5990,1
20250401,945,5990,5990,5990,5990,160
20250401,947,5990,5990,5980,5980,9
20250401,949,5990,5990,5990,5990,10
20250401,950,5990,5990,5990,5990,1
20250401,951,5990,5990,5990,5990,50
20250401,953,5990,5990,5990,5990,68
20250401,954,6000,6000,6000,6000,1
20250401,955,6000,6000,6000,6000,2
20250401,956,6000,6000,5990,5990,61
20250401,957,5990,5990,5990,5990,1
20250401,958,5990,5990,5985,5985,2
20250401,959,5990,5990,5990,5990,1
20250401,1000,5990,5990,5990,5990,40
20250401,1001,5980,5980,5980,5980,81
20250401,1003,5990,5990,5990,5990,30
20250401,1004,5990,5990,5990,5990,24
20250401,1005,5990,5990,5990,5990,1
20250401,1006,5990,5990,5990,5990,20
20250401,1007,5990,5990,5990,5990,180
20250401,1008,5990,5990,5990,5990,6
20250401,1010,5990,5990,5990,5990,1605
20250401,1011,6000,6000,5990,5990,13
20250401,1012,5990,6000,5980,6000,1543
20250401,1013,6010,6010,6010,6010,2
20250401,1017,6020,6020,6020,6020,1
20250401,1021,6015,6015,6010,6010,8
20250401,1027,6000,6000,6000,6000,2
20250401,1029,6010,6010,6000,6000,2
20250401,1031,6010,6010,6010,6010,4
20250401,1033,6020,6020,6020,6020,1
20250401,1036,6010,6010,6010,6010,13
20250401,1037,6010,6010,6010,6010,37
20250401,1040,6010,6010,6010,6010,1
20250401,1045,6010,6010,6010,6010,25
20250401,1046,6020,6020,6020,6020,2
20250401,1049,6010,6010,6010,6010,149
20250401,1050,6010,6010,6010,6010,10
20250401,1051,6020,6020,6020,6020,299
20250401,1056,6030,6030,6030,6030,65
20250401,1100,6030,6030,6030,6030,23
20250401,1101,6030,6030,6030,6030,40
20250401,1102,6040,6040,6040,6040,17
20250401,1103,6040,6040,6040,6040,50
20250401,1104,6040,6050,6040,6050,869
20250401,1107,6050,6050,6040,6040,111
20250401,1111,6050,6050,6050,6050,534
20250401,1112,6040,6040,6040,6040,1
20250401,1115,6050,6050,6050,6050,286
20250401,1116,6050,6070,6050,6070,818
20250401,1119,6070,6070,6070,6070,50
20250401,1120,6070,6070,6070,6070,1
20250401,1121,6070,6070,6070,6070,130
20250401,1123,6070,6070,6070,6070,8
20250401,1124,6080,6080,6070,6070,301
20250401,1126,6070,6080,6070,6080,602
20250401,1127,6070,6070,6070,6070,96
20250401,1133,6060,6060,6060,6060,197
20250401,1136,6060,6060,6060,6060,2
20250401,1137,6060,6060,6060,6060,5
20250401,1138,6060,6060,6060,6060,45
20250401,1140,6060,6060,6060,6060,1
20250401,1141,6050,6050,6050,6050,32
20250401,1148,6060,6060,6060,6060,1
20250401,1150,6060,6070,6060,6070,100
20250401,1152,6050,6050,6050,6050,50
20250401,1153,6060,6070,6060,6070,2
20250401,1156,6050,6050,6050,6050,1
20250401,1159,6050,6060,6050,6050,5
20250401,1200,6060,6060,6050,6050,22
